% Log Type: RawData2
% Log Generator: IdyllaStudio
% Log Generator Id: WBCMEH4V9M12
% Version Generator: 1.9.1016
% Version ISW: 20180206_1000
% Version CFW: 14013a22
% Version DFW: HW-012.0 FW-3.0
% Version HW: 0.41
% Slot ID: SER548
% Slot Type: PREPEP_4
% Slot Status: ServiceMode
% Slot Is Calibrated: True
% Protocol Recipe: INS_Characterization
% Protocol Recipe Version: 1.0.0
% Protocol Recipe Path: R:\Product Engineering Public\Projects\qPCR DET\Measurements\QC Ops Lab Protocols\INS Characterization\INS_Characterization_Frozen.isp
% Cartridge ID (operator): XXXX-C00
% Cartridge ID (barcode reader): *UNKNOWN*
% Cartridge Batch Info: 
% Sample Type ID: 900
% Operator: ESHA
% (info) ExperimentID: qPCR INS Characterization
% Protocol Start Time (ISW time): 2022-01-13 11:12:11
% Protocol Start Time (Log Generator time): 2022-01-13 11:12:04.954
% Protocol End Time (Log Generator time): 2022-01-13 11:19:36.090
% Protocol Result: OK
% -----------------------
% Fields: Cycle	Detection time	ChA.Det1.Slope	ChA.Det2.Slope	ChA.Det3.Slope	ChA.Det4.Slope	ChA.Det5.Slope	ChA.Det6.Slope	ChB.Det1.Slope	ChB.Det2.Slope	ChB.Det3.Slope	ChB.Det4.Slope	ChB.Det5.Slope	ChB.Det6.Slope	ChC.Det1.Slope	ChC.Det2.Slope	ChC.Det3.Slope	ChC.Det4.Slope	ChC.Det5.Slope	ChC.Det6.Slope	ChD.Det1.Slope	ChD.Det2.Slope	ChD.Det3.Slope	ChD.Det4.Slope	ChD.Det5.Slope	ChD.Det6.Slope	ChE.Det1.Slope	ChE.Det2.Slope	ChE.Det3.Slope	ChE.Det4.Slope	ChE.Det5.Slope	ChE.Det6.Slope
% -----------------------
1	2022-01-13 11:14:25.888	5.22968e+00	3.64948e+00	2.29953e+00	3.45104e+00	2.09094e+00	2.62419e+00	5.01661e+00	3.57495e+00	2.25825e+00	3.51075e+00	2.24416e+00	2.70912e+00	4.94516e+00	3.44244e+00	2.13745e+00	3.24592e+00	1.86564e+00	2.38310e+00	5.05716e+00	3.59041e+00	2.25384e+00	3.41163e+00	2.11802e+00	2.64702e+00	5.06743e+00	3.52127e+00	2.16560e+00	3.38861e+00	2.03663e+00	2.42666e+00
2	2022-01-13 11:14:36.410	5.22543e+00	3.65640e+00	2.29902e+00	3.45197e+00	2.09324e+00	2.62356e+00	5.01224e+00	3.57421e+00	2.25709e+00	3.50991e+00	2.24313e+00	2.71799e+00	4.93908e+00	3.44248e+00	2.13748e+00	3.24327e+00	1.86635e+00	2.38349e+00	5.05087e+00	3.59081e+00	2.25436e+00	3.41417e+00	2.11510e+00	2.64843e+00	5.06571e+00	3.52194e+00	2.16572e+00	3.38936e+00	2.03607e+00	2.41897e+00
3	2022-01-13 11:14:47.030	5.22271e+00	3.65315e+00	2.29892e+00	3.45355e+00	2.09283e+00	2.62378e+00	5.00916e+00	3.57439e+00	2.25717e+00	3.51030e+00	2.24323e+00	2.71707e+00	4.93361e+00	3.44240e+00	2.13741e+00	3.24575e+00	1.86675e+00	2.38260e+00	5.04726e+00	3.59205e+00	2.25496e+00	3.41650e+00	2.11701e+00	2.65016e+00	5.06304e+00	3.52235e+00	2.16546e+00	3.38972e+00	2.03464e+00	2.41670e+00
4	2022-01-13 11:14:57.751	5.22039e+00	3.65680e+00	2.29951e+00	3.45347e+00	2.09028e+00	2.62363e+00	5.00626e+00	3.57450e+00	2.25693e+00	3.51141e+00	2.24181e+00	2.71118e+00	4.92702e+00	3.44296e+00	2.13705e+00	3.24661e+00	1.86722e+00	2.38254e+00	5.04409e+00	3.59279e+00	2.25579e+00	3.41810e+00	2.11931e+00	2.65180e+00	5.06159e+00	3.52322e+00	2.16520e+00	3.38974e+00	2.03364e+00	2.41464e+00
5	2022-01-13 11:15:08.574	5.21780e+00	3.65790e+00	2.29975e+00	3.45466e+00	2.09329e+00	2.62421e+00	5.00384e+00	3.57469e+00	2.25762e+00	3.51199e+00	2.24114e+00	2.71556e+00	4.92234e+00	3.44302e+00	2.13673e+00	3.24728e+00	1.86717e+00	2.38313e+00	5.04229e+00	3.59426e+00	2.25596e+00	3.42021e+00	2.12133e+00	2.65280e+00	5.05960e+00	3.52436e+00	2.16598e+00	3.39022e+00	2.03224e+00	2.41248e+00
6	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
11	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
13	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
14	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
